malattia,sintomi
occhio_pavone,"macchie_circolari_grigie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie,macchie_bruno_nerastre_frutti"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_bruno_nerastre_frutti"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,tumori_rami,annerimento_gambo"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,tumori_rami"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,annerimento_gambo"
occhio_pavone,"ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie,macchie_bruno_nerastre_frutti,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,tumori_rami"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,tumori_rami"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,tumori_rami,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,tumori_rami,macchie_nere_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,macchie_bruno_nerastre_frutti"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_bruno_nerastre_frutti,annerimento_gambo,avvizzimento_pianta"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie,macchie_bruno_nerastre_frutti,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,caduta_foglie
occhio_pavone,"ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,annerimento_gambo"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,macchie_bruno_nerastre_frutti"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,annerimento_gambo"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
fusarium_basilico,avvizzimento_pianta
fusarium_basilico,avvizzimento_pianta
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,annerimento_gambo
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"avvizzimento_pianta,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,ingiallimento_foglie"
fusarium_basilico,"annerimento_gambo,caduta_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,caduta_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_bruno_nerastre_frutti"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_nere_foglie,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_nere_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,annerimento_gambo
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,ingiallimento_foglie,macchie_bruno_nerastre_frutti"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,tumori_rami"
fusarium_basilico,"annerimento_gambo,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,caduta_foglie,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,ingiallimento_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,ingiallimento_foglie,tumori_rami"
fusarium_basilico,annerimento_gambo
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,annerimento_gambo
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_nere_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_nere_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_nere_foglie"
fusarium_basilico,annerimento_gambo
fusarium_basilico,"annerimento_gambo,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie,macchie_bruno_nerastre_frutti"
fusarium_basilico,"avvizzimento_pianta,caduta_foglie,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_nere_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,caduta_foglie,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,caduta_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,tumori_rami,muffa_biancastra"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,macchie_circolari_grigie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,caduta_foglie,macchie_bruno_nerastre_frutti"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,tumori_rami"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,caduta_foglie,tumori_rami"
fusarium_basilico,annerimento_gambo
fusarium_basilico,"annerimento_gambo,macchie_bruno_nerastre_frutti,macchie_nere_foglie"
fusarium_basilico,"annerimento_gambo,avvizzimento_pianta,muffa_biancastra"
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_bruno_nerastre_frutti"
oidio_rosa,"muffa_biancastra,annerimento_gambo"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,caduta_foglie"
oidio_rosa,"muffa_biancastra,tumori_rami"
oidio_rosa,"muffa_biancastra,tumori_rami"
oidio_rosa,macchie_circolari_grigie
oidio_rosa,"muffa_biancastra,macchie_bruno_nerastre_frutti"
oidio_rosa,"muffa_biancastra,annerimento_gambo"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,annerimento_gambo"
oidio_rosa,"muffa_biancastra,avvizzimento_pianta"
oidio_rosa,"muffa_biancastra,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,"macchie_circolari_grigie,caduta_foglie,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_circolari_grigie"
oidio_rosa,"muffa_biancastra,macchie_circolari_grigie"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,tumori_rami,macchie_bruno_nerastre_frutti"
oidio_rosa,"muffa_biancastra,ingiallimento_foglie,tumori_rami"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_circolari_grigie,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,macchie_nere_foglie
oidio_rosa,"muffa_biancastra,caduta_foglie,annerimento_gambo"
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,ingiallimento_foglie"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,caduta_foglie,tumori_rami"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_circolari_grigie,tumori_rami,macchie_nere_foglie"
oidio_rosa,"muffa_biancastra,macchie_nere_foglie"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_nere_foglie"
oidio_rosa,"muffa_biancastra,macchie_nere_foglie"
oidio_rosa,"muffa_biancastra,annerimento_gambo"
oidio_rosa,muffa_biancastra
oidio_rosa,annerimento_gambo
oidio_rosa,"muffa_biancastra,macchie_nere_foglie"
oidio_rosa,"muffa_biancastra,caduta_foglie,tumori_rami,macchie_nere_foglie,annerimento_gambo,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,tumori_rami,macchie_bruno_nerastre_frutti"
oidio_rosa,"muffa_biancastra,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,caduta_foglie"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_bruno_nerastre_frutti"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,ingiallimento_foglie,tumori_rami"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,tumori_rami,avvizzimento_pianta"
oidio_rosa,"muffa_biancastra,caduta_foglie"
oidio_rosa,"muffa_biancastra,tumori_rami,macchie_bruno_nerastre_frutti"
oidio_rosa,"muffa_biancastra,macchie_nere_foglie"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,annerimento_gambo,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_bruno_nerastre_frutti"
oidio_rosa,"muffa_biancastra,avvizzimento_pianta"
oidio_rosa,muffa_biancastra
oidio_rosa,"muffa_biancastra,macchie_circolari_grigie,caduta_foglie,tumori_rami"
oidio_rosa,"muffa_biancastra,ingiallimento_foglie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie,macchie_circolari_grigie,muffa_biancastra"
ticchiolatura_rosa,"macchie_nere_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie,macchie_circolari_grigie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,caduta_foglie
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,macchie_circolari_grigie"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,macchie_circolari_grigie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,tumori_rami"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie,annerimento_gambo"
ticchiolatura_rosa,"ingiallimento_foglie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"caduta_foglie,muffa_biancastra"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,macchie_bruno_nerastre_frutti"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,macchie_bruno_nerastre_frutti,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie,macchie_circolari_grigie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,macchie_bruno_nerastre_frutti,muffa_biancastra"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,macchie_nere_foglie
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie,macchie_bruno_nerastre_frutti"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
ticchiolatura_rosa,"ingiallimento_foglie,tumori_rami"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,muffa_biancastra,avvizzimento_pianta"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,muffa_biancastra,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,macchie_circolari_grigie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,macchie_circolari_grigie,macchie_bruno_nerastre_frutti,avvizzimento_pianta"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,annerimento_gambo"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,tumori_rami"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie,annerimento_gambo"
ticchiolatura_rosa,"ingiallimento_foglie,caduta_foglie,annerimento_gambo"
ticchiolatura_rosa,macchie_nere_foglie
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
ticchiolatura_rosa,"macchie_nere_foglie,caduta_foglie,tumori_rami"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie,macchie_circolari_grigie"
ticchiolatura_rosa,"macchie_nere_foglie,ingiallimento_foglie,caduta_foglie"
